fecha,titulo,cuerpo,fuente,neg,neu,pos,compound
2026-08-18 07:30:00+00:00,Meta Flags Migration Searches... Then Offers UN Asylum Help,"Meta's Facebook and Instagram platforms have begun displaying targeted warning messages to users searching for news or information related to mass immigration, including terms such as ""Ceuta.""

The prompts caution users to ""be careful when searching for migration info"" and include a prominent link ...",Zero Hedge,0.041,0.845,0.114,0.4939
2026-08-18 05:05:00+00:00,Meta Under Pressure as $1.4 Trillion Lawsuit Raises Questions Over Facebook and Instagram's Future,"18, August 2026: Meta Platforms, the company behind Facebook and Instagram, is facing one of the most significant legal battles in its history. A group of U.S. states has accused the tech giant of designing features that keep young users engaged for long periods and collecting data from children ...",psuconnect.in,0.128,0.781,0.092,-0.3803
2026-08-18 04:11:25+00:00,"Gil Durán, Chronicler of Big Tech's Far Right, Gets Booted From YouTube","The ban landed days before the release of his book on Silicon Valley's embrace of authoritarian ideas

A journalist and writer known for his pointed critique of Silicon Valley oligarchs' embrace of extremist ideas has been banned from a major online platform for the second time in recent months. Gil ...",La Voce di New York,0.097,0.836,0.067,-0.4588
2026-08-17 21:57:24+00:00,Meta standing trial in Oakland for social media impacts on children,"(KRON) -- Meta will stand trial this week in Oakland for what could be one of the most consequential legal battles in the social media giant's history.

The tech trial, beginning Tuesday in a federal courthouse, centers on a lawsuit filed by California Attorney General Rob Bonta and other AGs ...",KRON4,0.126,0.847,0.027,-0.764
2026-08-17 00:00:00+00:00,"Meta heads to trial over alleged social media addiction, risks to children","Monte Mann, a partner at Armstrong Teasdale, discusses the social media addiction case brought against Meta by state attorneys general.

Social media giant Meta is heading to court in a case brought by a group of state attorneys general who claim the company designed its social media platforms to be ...",Fox Business,0.034,0.966,0.0,-0.2732
2026-08-17 17:47:18+00:00,Instagram Head of Product Design Explains Thinking Behind That New Logo and Responds to Critics: 'It's Important for Us to Embrace the Future',"Instagram rolled out a new logo last week -- which instantly drew jeers from some users. One of the top criticisms was that the cursive-style ""s"" in the updated wordmark confusingly looks like a ""z,"" leading to a flood of jokes about the new ""Instagzam.""

Instagram director of product design Jasmine ...",Variety,0.08,0.791,0.129,0.4404
2026-08-17 16:20:23+00:00,Rethinking Your Media Mix for Patient Acquisition,"Most healthcare organizations running paid media today are front-loading at the bottom of the funnel with paid search taking the largest share of the budget. Retargeting, when feasible from a compliance standpoint, gets the remainder. Awareness and consideration, the stages where patients first ...",Healthcare Success,0.0,0.936,0.064,0.3182
2026-08-17 16:02:07+00:00,Meta's AI Tools Fuel Calls for Violence Against Muslim Americans on Facebook,"Dearborn, Michigan, has long stood as home to one of the largest Arab-American communities in the United States. Last week, far-right activist Jake Lang showed up at a peaceful religious procession there carrying a sign that read ""deport 100 million"" Muslims. A scuffle broke out. Three people were ...",WebProNews,0.103,0.807,0.09,-0.2263
2026-08-17 14:18:42+00:00,"Supreme Court orders restoration of AAP Gujarat unit's Facebook, Instagram accounts - The Tribune","In a major relief to the Aam Aadmi Party, the Supreme Court on Monday ordered restoration of the Instagram and Facebook pages of the party's Gujarat unit, subject to the removal of objectionable posts.

A Bench led by Justice PS Narasimha passed the order on an interim application filed by AAP ...",The Tribune,0.0,0.78,0.22,0.9468
2026-08-17 11:00:09+00:00,Did Facebook remove Jennifer Wilson Hall's Bible verse post? What we know,"To learn more, we contacted Meta and a Facebook user matching Hall's name. That user told us by phone she had no knowledge of Facebook removing a Bible verse from her profile and knew nothing about the matter. We also reached out to an apparent friend of Hall's named Ron Swindall who appeared to ...",Snopes,0.048,0.886,0.067,0.3239
